train_loss,epoch,step
4.4334611892700195,0,0
3.7555980682373047,0,1
3.1181516647338867,0,2
2.6644914150238037,0,3
2.329134225845337,1,4
2.0311920642852783,1,5
1.95626962184906,1,6
1.772430658340454,1,7
1.6762475967407227,2,8
1.6512343883514404,2,9
1.6541794538497925,2,10
1.7059004306793213,2,11
1.6436982154846191,3,12
1.5035847425460815,3,13
1.5706510543823242,3,14
1.4979554414749146,3,15
1.4925850629806519,4,16
1.416963815689087,4,17
1.342375636100769,4,18
1.4576205015182495,4,19
